Date,County,Cases,Deaths
2020-03-15,Allegany,0,0
2020-03-15,Anne_Arundel,2,0
2020-03-15,Baltimore,3,0
2020-03-15,Baltimore_City,1,0
2020-03-15,Calvert,0,0
2020-03-15,Caroline,0,0
2020-03-15,Carroll,1,0
2020-03-15,Cecil,0,0
2020-03-15,Charles,1,0
2020-03-15,Dorchester,0,0
2020-03-15,Frederick,0,0
2020-03-15,Garrett,0,0
2020-03-15,Harford,2,0
2020-03-15,Howard,0,0
2020-03-15,Kent,0,0
2020-03-15,Montgomery,12,0
2020-03-15,Prince_Georges,9,0
2020-03-15,Queen_Annes,0,0
2020-03-15,Somerset,0,0
2020-03-15,St_Marys,0,0
2020-03-15,Talbot,0,0
2020-03-15,Washington,0,0
2020-03-15,Wicomico,0,0
2020-03-15,Worcester,0,0
2020-03-16,Allegany,0,0
2020-03-16,Anne_Arundel,1,0
2020-03-16,Baltimore,4,0
2020-03-16,Baltimore_City,1,0
2020-03-16,Calvert,0,0
2020-03-16,Caroline,0,0
2020-03-16,Carroll,1,0
2020-03-16,Cecil,0,0
2020-03-16,Charles,1,0
2020-03-16,Dorchester,0,0
2020-03-16,Frederick,0,0
2020-03-16,Garrett,0,0
2020-03-16,Harford,2,0
2020-03-16,Howard,1,0
2020-03-16,Kent,0,0
2020-03-16,Montgomery,10,0
2020-03-16,Prince_Georges,15,0
2020-03-16,Queen_Annes,0,0
2020-03-16,Somerset,0,0
2020-03-16,St_Marys,0,0
2020-03-16,Talbot,1,0
2020-03-16,Washington,0,0
2020-03-16,Wicomico,0,0
2020-03-16,Worcester,0,0
2020-03-17,Allegany,0,0
2020-03-17,Anne_Arundel,3,0
2020-03-17,Baltimore,6,0
2020-03-17,Baltimore_City,1,0
2020-03-17,Calvert,0,0
2020-03-17,Caroline,0,0
2020-03-17,Carroll,1,0
2020-03-17,Cecil,0,0
2020-03-17,Charles,1,0
2020-03-17,Dorchester,0,0
2020-03-17,Frederick,1,0
2020-03-17,Garrett,0,0
2020-03-17,Harford,2,0
2020-03-17,Howard,3,0
2020-03-17,Kent,0,0
2020-03-17,Montgomery,24,0
2020-03-17,Prince_Georges,14,0
2020-03-17,Queen_Annes,0,0
2020-03-17,Somerset,0,0
2020-03-17,St_Marys,0,0
2020-03-17,Talbot,1,0
2020-03-17,Washington,0,0
2020-03-17,Wicomico,0,0
2020-03-17,Worcester,0,0
2020-03-18,Allegany,0,0
2020-03-18,Anne_Arundel,4,0
2020-03-18,Baltimore,10,0
2020-03-18,Baltimore_City,4,0
2020-03-18,Calvert,0,0
2020-03-18,Caroline,0,0
2020-03-18,Carroll,1,0
2020-03-18,Cecil,0,0
2020-03-18,Charles,2,0
2020-03-18,Dorchester,0,0
2020-03-18,Frederick,1,0
2020-03-18,Garrett,0,0
2020-03-18,Harford,3,0
2020-03-18,Howard,8,0
2020-03-18,Kent,0,0
2020-03-18,Montgomery,31,0
2020-03-18,Prince_Georges,20,0
2020-03-18,Queen_Annes,0,0
2020-03-18,Somerset,0,0
2020-03-18,St_Marys,0,0
2020-03-18,Talbot,1,0
2020-03-18,Washington,0,0
2020-03-18,Wicomico,0,0
2020-03-18,Worcester,0,0
2020-03-19,Allegany,0,0
2020-03-19,Anne_Arundel,5,0
2020-03-19,Baltimore,12,0
2020-03-19,Baltimore_City,8,0
2020-03-19,Calvert,1,0
2020-03-19,Caroline,0,0
2020-03-19,Carroll,2,0
2020-03-19,Cecil,0,0
2020-03-19,Charles,2,0
2020-03-19,Dorchester,0,0
2020-03-19,Frederick,1,0
2020-03-19,Garrett,0,0
2020-03-19,Harford,3,0
2020-03-19,Howard,16,0
2020-03-19,Kent,0,0
2020-03-19,Montgomery,33,0
2020-03-19,Prince_Georges,23,0
2020-03-19,Queen_Annes,0,0
2020-03-19,Somerset,0,0
2020-03-19,St_Marys,0,0
2020-03-19,Talbot,1,0
2020-03-19,Washington,0,0
2020-03-19,Wicomico,0,0
2020-03-19,Worcester,0,0
2020-03-20,Allegany,0,0
2020-03-20,Anne_Arundel,10,0
2020-03-20,Baltimore,13,0
2020-03-20,Baltimore_City,11,0
2020-03-20,Calvert,1,0
2020-03-20,Caroline,0,0
2020-03-20,Carroll,3,0
2020-03-20,Cecil,0,0
2020-03-20,Charles,2,0
2020-03-20,Dorchester,0,0
2020-03-20,Frederick,1,0
2020-03-20,Garrett,0,0
2020-03-20,Harford,5,0
2020-03-20,Howard,18,0
2020-03-20,Kent,0,0
2020-03-20,Montgomery,51,0
2020-03-20,Prince_Georges,31,0
2020-03-20,Queen_Annes,0,0
2020-03-20,Somerset,0,0
2020-03-20,St_Marys,0,0
2020-03-20,Talbot,1,0
2020-03-20,Washington,0,0
2020-03-20,Wicomico,1,0
2020-03-20,Worcester,1,0
2020-03-21,Allegany,0,0
2020-03-21,Anne_Arundel,15,0
2020-03-21,Baltimore,19,0
2020-03-21,Baltimore_City,15,0
2020-03-21,Calvert,1,0
2020-03-21,Caroline,0,0
2020-03-21,Carroll,3,0
2020-03-21,Cecil,0,0
2020-03-21,Charles,4,0
2020-03-21,Dorchester,0,0
2020-03-21,Frederick,1,0
2020-03-21,Garrett,0,0
2020-03-21,Harford,5,0
2020-03-21,Howard,19,0
2020-03-21,Kent,0,0
2020-03-21,Montgomery,68,0
2020-03-21,Prince_Georges,36,0
2020-03-21,Queen_Annes,0,0
2020-03-21,Somerset,0,0
2020-03-21,St_Marys,0,0
2020-03-21,Talbot,1,0
2020-03-21,Washington,0,0
2020-03-21,Wicomico,2,0
2020-03-21,Worcester,1,0
2020-03-22,Allegany,0,0
2020-03-22,Anne_Arundel,18,0
2020-03-22,Baltimore,28,0
2020-03-22,Baltimore_City,24,0
2020-03-22,Calvert,2,0
2020-03-22,Caroline,1,0
2020-03-22,Carroll,4,0
2020-03-22,Cecil,1,0
2020-03-22,Charles,4,0
2020-03-22,Dorchester,0,0
2020-03-22,Frederick,1,0
2020-03-22,Garrett,0,0
2020-03-22,Harford,5,0
2020-03-22,Howard,24,0
2020-03-22,Kent,0,0
2020-03-22,Montgomery,83,0
2020-03-22,Prince_Georges,40,0
2020-03-22,Queen_Annes,0,0
2020-03-22,Somerset,1,0
2020-03-22,St_Marys,1,0
2020-03-22,Talbot,1,0
2020-03-22,Washington,1,0
2020-03-22,Wicomico,2,0
2020-03-22,Worcester,2,0
2020-03-23,Allegany,0,0
2020-03-23,Anne_Arundel,20,0
2020-03-23,Baltimore,35,0
2020-03-23,Baltimore_City,31,0
2020-03-23,Calvert,2,0
2020-03-23,Caroline,1,0
2020-03-23,Carroll,5,0
2020-03-23,Cecil,1,0
2020-03-23,Charles,5,0
2020-03-23,Dorchester,0,0
2020-03-23,Frederick,2,0
2020-03-23,Garrett,3,0
2020-03-23,Harford,5,0
2020-03-23,Howard,26,0
2020-03-23,Kent,0,0
2020-03-23,Montgomery,93,0
2020-03-23,Prince_Georges,47,0
2020-03-23,Queen_Annes,1,0
2020-03-23,Somerset,1,0
2020-03-23,St_Marys,1,0
2020-03-23,Talbot,1,0
2020-03-23,Washington,2,0
2020-03-23,Wicomico,4,0
2020-03-23,Worcester,2,0
2020-03-24,Allegany,0,0
2020-03-24,Anne_Arundel,24,0
2020-03-24,Baltimore,42,0
2020-03-24,Baltimore_City,41,0
2020-03-24,Calvert,3,0
2020-03-24,Caroline,1,0
2020-03-24,Carroll,5,0
2020-03-24,Cecil,3,0
2020-03-24,Charles,5,0
2020-03-24,Dorchester,0,0
2020-03-24,Frederick,4,0
2020-03-24,Garrett,3,0
2020-03-24,Harford,5,0
2020-03-24,Howard,30,0
2020-03-24,Kent,0,0
2020-03-24,Montgomery,107,0
2020-03-24,Prince_Georges,63,0
2020-03-24,Queen_Annes,1,0
2020-03-24,Somerset,1,0
2020-03-24,St_Marys,2,0
2020-03-24,Talbot,1,0
2020-03-24,Washington,2,0
2020-03-24,Wicomico,4,0
2020-03-24,Worcester,2,0
2020-03-25,Allegany,0,0
2020-03-25,Anne_Arundel,31,0
2020-03-25,Baltimore,51,0
2020-03-25,Baltimore_City,53,0
2020-03-25,Calvert,3,0
2020-03-25,Caroline,1,0
2020-03-25,Carroll,5,0
2020-03-25,Cecil,4,0
2020-03-25,Charles,8,0
2020-03-25,Dorchester,0,0
2020-03-25,Frederick,7,0
2020-03-25,Garrett,3,0
2020-03-25,Harford,5,0
2020-03-25,Howard,35,0
2020-03-25,Kent,1,0
2020-03-25,Montgomery,127,0
2020-03-25,Prince_Georges,76,0
2020-03-25,Queen_Annes,1,0
2020-03-25,Somerset,1,0
2020-03-25,St_Marys,2,0
2020-03-25,Talbot,1,0
2020-03-25,Washington,2,0
2020-03-25,Wicomico,4,0
2020-03-25,Worcester,2,0
2020-03-26,Allegany,0,0
2020-03-26,Anne_Arundel,41,0
2020-03-26,Baltimore,81,0
2020-03-26,Baltimore_City,72,0
2020-03-26,Calvert,7,0
2020-03-26,Caroline,1,0
2020-03-26,Carroll,7,0
2020-03-26,Cecil,4,0
2020-03-26,Charles,10,0
2020-03-26,Dorchester,0,0
2020-03-26,Frederick,14,0
2020-03-26,Garrett,3,0
2020-03-26,Harford,9,0
2020-03-26,Howard,49,0
2020-03-26,Kent,1,0
2020-03-26,Montgomery,164,0
2020-03-26,Prince_Georges,101,0
2020-03-26,Queen_Annes,1,0
2020-03-26,Somerset,1,0
2020-03-26,St_Marys,4,0
2020-03-26,Talbot,1,0
2020-03-26,Washington,2,0
2020-03-26,Wicomico,5,0
2020-03-26,Worcester,2,0
2020-03-27,Allegany,0,0
2020-03-27,Anne_Arundel,63,0
2020-03-27,Baltimore,103,0
2020-03-27,Baltimore_City,88,0
2020-03-27,Calvert,9,0
2020-03-27,Caroline,1,0
2020-03-27,Carroll,9,0
2020-03-27,Cecil,9,0
2020-03-27,Charles,17,0
2020-03-27,Dorchester,0,0
2020-03-27,Frederick,15,0
2020-03-27,Garrett,3,0
2020-03-27,Harford,18,0
2020-03-27,Howard,62,0
2020-03-27,Kent,2,0
2020-03-27,Montgomery,208,0
2020-03-27,Prince_Georges,148,0
2020-03-27,Queen_Annes,1,0
2020-03-27,Somerset,1,0
2020-03-27,St_Marys,4,0
2020-03-27,Talbot,1,0
2020-03-27,Washington,5,0
2020-03-27,Wicomico,5,0
2020-03-27,Worcester,2,0
2020-03-28,Allegany,0,0
2020-03-28,Anne_Arundel,88,0
2020-03-28,Baltimore,141,0
