OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedAllDoses,CombinedAllDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
1,2020/12/22 15:00:00+00,12-17,8,8,,0,,0,,0,,0
2,2020/12/23 15:00:00+00,12-17,1,9,,0,,0,,0,,0
3,2020/12/25 15:00:00+00,12-17,9,18,,0,,0,,0,,0
4,2020/12/27 15:00:00+00,12-17,2,20,,0,,0,,0,,0
5,2020/12/28 15:00:00+00,12-17,4,24,,0,,0,,0,,0
6,2020/12/29 15:00:00+00,12-17,1,25,,0,,0,,0,,0
7,2020/12/30 15:00:00+00,12-17,2,27,1,1,,0,,0,,0
8,2020/12/31 15:00:00+00,12-17,2,29,,1,,0,,0,,0
9,2021/01/01 15:00:00+00,12-17,12,41,,1,,0,,0,,0
10,2021/01/02 15:00:00+00,12-17,4,45,,1,,0,,0,,0
11,2021/01/03 15:00:00+00,12-17,1,46,1,2,,0,,0,,0
12,2021/01/04 15:00:00+00,12-17,7,53,,2,,0,,0,,0
13,2021/01/05 15:00:00+00,12-17,13,66,1,3,,0,,0,,0
14,2021/01/06 15:00:00+00,12-17,17,83,,3,,0,,0,,0
15,2021/01/07 15:00:00+00,12-17,14,97,,3,,0,,0,,0
16,2021/01/08 15:00:00+00,12-17,34,131,1,4,,0,,0,,0
17,2021/01/09 15:00:00+00,12-17,6,137,,4,,0,,0,,0
18,2021/01/10 15:00:00+00,12-17,5,142,,4,,0,,0,,0
19,2021/01/11 15:00:00+00,12-17,17,159,,4,,0,,0,,0
20,2021/01/12 15:00:00+00,12-17,26,185,8,12,,0,,0,,0
21,2021/01/13 15:00:00+00,12-17,17,202,1,13,,0,,0,,0
22,2021/01/14 15:00:00+00,12-17,12,214,,13,,0,,0,,0
23,2021/01/15 15:00:00+00,12-17,17,231,9,22,,0,,0,,0
24,2021/01/16 15:00:00+00,12-17,2,233,,22,,0,,0,,0
25,2021/01/17 15:00:00+00,12-17,4,237,2,24,,0,,0,,0
26,2021/01/18 15:00:00+00,12-17,6,243,1,25,,0,,0,,0
