Date,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedAllDoses,CombinedAllDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative,Cases_per_100
2020-12-22,12-17,8,8,0,0,0,0,0,0,0,0,37.89
2020-12-23,12-17,1,9,0,0,0,0,0,0,0,0,38.03
2020-12-25,12-17,9,18,0,0,0,0,0,0,0,0,39.24
2020-12-27,12-17,2,20,0,0,0,0,0,0,0,0,38.73
2020-12-28,12-17,4,24,0,0,0,0,0,0,0,0,38.07
2020-12-29,12-17,1,25,0,0,0,0,0,0,0,0,37.01
2020-12-30,12-17,2,27,1,1,0,0,0,0,0,0,37.4
2020-12-31,12-17,2,29,0,1,0,0,0,0,0,0,37.7
2021-01-01,12-17,12,41,0,1,0,0,0,0,0,0,40.31
2021-01-02,12-17,4,45,0,1,0,0,0,0,0,0,41.9
2021-01-03,12-17,1,46,1,2,0,0,0,0,0,0,42.82
2021-01-04,12-17,7,53,0,2,0,0,0,0,0,0,44
2021-01-05,12-17,13,66,1,3,0,0,0,0,0,0,44.18
2021-01-06,12-17,17,83,0,3,0,0,0,0,0,0,45.4
2021-01-07,12-17,14,97,0,3,0,0,0,0,0,0,45.4
2021-01-08,12-17,34,131,1,4,0,0,0,0,0,0,45.81
2021-01-09,12-17,6,137,0,4,0,0,0,0,0,0,47.72
2021-01-10,12-17,5,142,0,4,0,0,0,0,0,0,50.46
2021-01-11,12-17,17,159,0,4,0,0,0,0,0,0,51.71
2021-01-12,12-17,26,185,8,12,0,0,0,0,0,0,53.39
2021-01-13,12-17,17,202,1,13,0,0,0,0,0,0,51.9
2021-01-14,12-17,12,214,0,13,0,0,0,0,0,0,51.85
2021-01-15,12-17,17,231,9,22,0,0,0,0,0,0,49.94
2021-01-16,12-17,2,233,0,22,0,0,0,0,0,0,48.84
2021-01-17,12-17,4,237,2,24,0,0,0,0,0,0,46.72
2021-01-18,12-17,6,243,1,25,0,0,0,0,0,0,42.14
2021-01-19,12-17,10,253,0,25,0,0,0,0,0,0,41.32
2021-01-20,12-17,10,263,0,25,0,0,0,0,0,0,39.5
